"","Taxa","January","February","March","April","May","June","July","August","September","October","November","December","Total"
"214","Aguna metophis",1,3,0,0,0,1,1,0,0,1,1,0,8
"215","Nyctelius nyctelius",0,2,0,0,0,0,1,2,0,1,1,1,8
"216","Nastra julia",1,2,1,0,2,0,1,1,1,2,5,2,18
"217","Mysoria amra",0,0,0,0,0,0,0,3,0,11,0,0,14
"218","Autochton zarex",0,0,0,0,0,0,0,0,0,2,0,0,2
"219","Synapte syraces",0,0,0,0,0,0,0,0,0,2,1,0,3
"220","Thespieus macareus",0,0,0,0,0,0,0,0,0,1,1,0,3
"221","Heliopyrgus sublinea",1,1,0,0,0,1,1,1,0,1,1,0,7
"222","Nascus phocus",0,1,0,0,0,0,0,2,2,0,3,1,9
"223","Astraptes egregius",0,0,0,0,0,0,0,0,0,0,2,0,2
"224","Anthoptus epictetus",0,0,0,0,0,0,0,0,0,0,1,0,1
"225","Ancyloxypha arene",1,0,0,1,1,0,1,0,0,2,1,0,7
"226","Urbanus pronta",2,0,3,0,0,0,0,0,0,0,1,3,9
"227","Remella rita",0,0,1,1,1,0,0,0,1,0,3,0,8
"228","Celaenorrhinus stallingsi",1,1,0,0,0,0,2,0,0,0,2,0,6
"229","Astraptes phalaecus",0,1,0,0,0,0,0,0,0,0,1,0,2
"230","Panoquina hecebolus",0,0,0,0,0,0,0,0,0,0,2,0,2
"231","Panoquina lucas",2,6,0,2,0,0,0,2,0,0,4,0,16
"232","Celaenorrhinus stola",0,1,1,0,0,0,0,0,0,0,1,0,3
"233","Ephyriades brunnea",1,2,4,0,0,1,0,0,1,0,1,0,10
"234","Saliana esperi",0,0,0,0,0,0,1,0,0,0,1,0,2
"235","Heliopetes alana",1,0,1,2,0,0,0,1,0,0,1,2,8
"236","Quasimellana eulogius",0,2,0,0,0,2,0,2,1,2,3,2,14
"237","Noctuana lactifera",1,0,0,0,0,0,1,2,2,3,2,1,12
"238","Phanus marshallii",0,1,0,0,0,0,0,0,0,0,0,1,2
"239","Zariaspes mythecus",0,1,0,1,1,0,0,0,0,0,0,1,4
"240","Doberes hewitsonius",0,0,0,0,0,0,0,0,0,0,0,1,1
"241","Cogia aventinus",0,0,0,0,0,0,0,0,0,0,0,1,1
"242","Codatractus valeriana",0,0,0,0,0,0,0,0,0,0,0,1,1
"243","Celaenorrhinus eligius",0,0,0,0,0,0,0,0,0,0,0,1,1
"244","Hesperopsis alpheus",0,0,0,0,1,0,1,0,2,0,0,2,6
"245","Flaccilla aecas",0,1,0,0,0,0,0,0,0,0,0,3,4
"246","Staphylus tierra",0,0,0,0,0,0,0,0,0,0,0,2,2
"247","Quinta cannae",0,0,1,1,0,0,0,0,0,0,0,1,3
"248","Jonaspyge jonas",0,0,0,0,0,0,0,0,0,0,0,1,1
"249","Niconiades incomptus",0,0,0,0,0,0,0,0,0,0,0,1,1
"250","Piruna haferniki",0,0,0,0,3,0,0,0,0,0,0,1,4
"251","Sostrata nordica",1,0,0,0,0,0,0,0,0,0,3,3,7
"252","Aides dysoni",2,0,0,0,0,0,0,1,0,0,0,1,4
"253","Polites baracoa",3,2,3,2,1,0,1,1,0,0,0,0,13
